id,url,image_url,photographer,description,url_slug,rich_annotation,text_surrogate,vision_labels,super_surrogate,processed_text
2325447,https://www.pexels.com/photo/hot-air-balloon-2325447/,https://images.pexels.com/photos/2325447/pexels-photo-2325447.jpeg?auto=compress&cs=tinysrgb&h=350,Francesco Ungaro,nature,hot air balloon 2325447,nature Francesco Ungaro hot air balloon 2325447,nature francesco ungaro hot air balloon 2325447 https://images.pexels.com/photos/2325447/pexels-photo-2325447.jpeg?auto=compress&cs=tinysrgb&h=350 https://www.pexels.com/photo/hot-air-balloon-2325447/,,nature francesco ungaro hot air balloon 2325447,natur francesco ungaro hot air balloon
886521,https://www.pexels.com/photo/person-s-left-hand-holding-green-leaf-plant-886521/,https://images.pexels.com/photos/886521/pexels-photo-886521.jpeg?auto=compress&cs=tinysrgb&h=350,Alena Koval,nature,person s left hand holding green leaf plant 886521,nature Alena Koval person s left hand holding green leaf plant 886521,nature alena koval person s left hand holding green leaf plant 886521 https://images.pexels.com/photos/886521/pexels-photo-886521.jpeg?auto=compress&cs=tinysrgb&h=350 https://www.pexels.com/photo/person-s-left-hand-holding-green-leaf-plant-886521/,,nature alena koval person s left hand holding green leaf plant 886521,natur alena koval person left hand hold green leaf plant
1133957,https://www.pexels.com/photo/brown-hummingbird-selective-focus-photography-1133957/,https://images.pexels.com/photos/1133957/pexels-photo-1133957.jpeg?auto=compress&cs=tinysrgb&h=350,Philippe Donn,nature,brown hummingbird selective focus photography 1133957,nature Philippe Donn brown hummingbird selective focus photography 1133957,nature philippe donn brown hummingbird selective focus photography 1133957 https://images.pexels.com/photos/1133957/pexels-photo-1133957.jpeg?auto=compress&cs=tinysrgb&h=350 https://www.pexels.com/photo/brown-hummingbird-selective-focus-photography-1133957/,,nature philippe donn brown hummingbird selective focus photography 1133957,natur philipp donn brown hummingbird select focu photographi
158063,https://www.pexels.com/photo/green-leafed-tree-beside-body-of-water-during-daytime-158063/,https://images.pexels.com/photos/158063/bellingrath-gardens-alabama-landscape-scenic-158063.jpeg?auto=compress&cs=tinysrgb&h=350,Pixabay,nature,green leafed tree beside body of water during daytime 158063,nature Pixabay green leafed tree beside body of water during daytime 158063,nature pixabay green leafed tree beside body of water during daytime 158063 https://images.pexels.com/photos/158063/bellingrath-gardens-alabama-landscape-scenic-158063.jpeg?auto=compress&cs=tinysrgb&h=350 https://www.pexels.com/photo/green-leafed-tree-beside-body-of-water-during-daytime-158063/,,nature pixabay green leafed tree beside body of water during daytime 158063,natur pixabay green leaf tree besid bodi water daytim
1386604,https://www.pexels.com/photo/woman-holding-pink-tulips-1386604/,https://images.pexels.com/photos/1386604/pexels-photo-1386604.jpeg?auto=compress&cs=tinysrgb&h=350,Tuấn Kiệt Jr.,nature,woman holding pink tulips 1386604,nature Tuấn Kiệt Jr. woman holding pink tulips 1386604,nature tuấn kiệt jr. woman holding pink tulips 1386604 https://images.pexels.com/photos/1386604/pexels-photo-1386604.jpeg?auto=compress&cs=tinysrgb&h=350 https://www.pexels.com/photo/woman-holding-pink-tulips-1386604/,,nature tuấn kiệt jr. woman holding pink tulips 1386604,natur tun kit jr woman hold pink tulip
459335,https://www.pexels.com/photo/white-orchids-459335/,https://images.pexels.com/photos/459335/pexels-photo-459335.jpeg?auto=compress&cs=tinysrgb&h=350,Pixabay,nature,white orchids 459335,nature Pixabay white orchids 459335,nature pixabay white orchids 459335 https://images.pexels.com/photos/459335/pexels-photo-459335.jpeg?auto=compress&cs=tinysrgb&h=350 https://www.pexels.com/photo/white-orchids-459335/,,nature pixabay white orchids 459335,natur pixabay white orchid
250591,https://www.pexels.com/photo/low-angle-view-of-pink-flowers-against-blue-sky-250591/,https://images.pexels.com/photos/250591/pexels-photo-250591.jpeg?auto=compress&cs=tinysrgb&h=350,John-Mark Smith,nature,low angle view of pink flowers against blue sky 250591,nature John-Mark Smith low angle view of pink flowers against blue sky 250591,nature john-mark smith low angle view of pink flowers against blue sky 250591 https://images.pexels.com/photos/250591/pexels-photo-250591.jpeg?auto=compress&cs=tinysrgb&h=350 https://www.pexels.com/photo/low-angle-view-of-pink-flowers-against-blue-sky-250591/,,nature john-mark smith low angle view of pink flowers against blue sky 250591,natur johnmark smith low angl view pink flower blue sky
906150,https://www.pexels.com/photo/pink-petaled-flower-plant-inside-white-hanging-pot-906150/,https://images.pexels.com/photos/906150/pexels-photo-906150.jpeg?auto=compress&cs=tinysrgb&h=350,Min An,nature,pink petaled flower plant inside white hanging pot 906150,nature Min An pink petaled flower plant inside white hanging pot 906150,nature min an pink petaled flower plant inside white hanging pot 906150 https://images.pexels.com/photos/906150/pexels-photo-906150.jpeg?auto=compress&cs=tinysrgb&h=350 https://www.pexels.com/photo/pink-petaled-flower-plant-inside-white-hanging-pot-906150/,,nature min an pink petaled flower plant inside white hanging pot 906150,natur min pink petal flower plant insid white hang pot
247599,https://www.pexels.com/photo/scenic-view-of-rice-paddy-247599/,https://images.pexels.com/photos/247599/pexels-photo-247599.jpeg?auto=compress&cs=tinysrgb&h=350,Pixabay,nature,scenic view of rice paddy 247599,nature Pixabay scenic view of rice paddy 247599,nature pixabay scenic view of rice paddy 247599 https://images.pexels.com/photos/247599/pexels-photo-247599.jpeg?auto=compress&cs=tinysrgb&h=350 https://www.pexels.com/photo/scenic-view-of-rice-paddy-247599/,,nature pixabay scenic view of rice paddy 247599,natur pixabay scenic view rice paddi
1108572,https://www.pexels.com/photo/clear-light-bulb-planter-on-gray-rock-1108572/,https://images.pexels.com/photos/1108572/pexels-photo-1108572.jpeg?auto=compress&cs=tinysrgb&h=350,Singkham,nature,clear light bulb planter on gray rock 1108572,nature Singkham clear light bulb planter on gray rock 1108572,nature singkham clear light bulb planter on gray rock 1108572 https://images.pexels.com/photos/1108572/pexels-photo-1108572.jpeg?auto=compress&cs=tinysrgb&h=350 https://www.pexels.com/photo/clear-light-bulb-planter-on-gray-rock-1108572/,,nature singkham clear light bulb planter on gray rock 1108572,natur singkham clear light bulb planter gray rock
